age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
45,M,463,En Couple,0,false,5786 UG 83
33,M,462,En Couple,1,false,8238 MR 57
47,M,542,En Couple,4,false,917 QS 33
34,F,221,Célibataire,0,false,5070 IN 84
57,M,596,En Couple,2,false,2373 WA 29
43,M,594,Célibataire,0,false,7661 ZE 35
25,F,153,En Couple,1,false,9782 QQ 40
24,F,468,En Couple,0,true,1484 KY 23
44,M,480,En Couple,3,false,940 YL 23
37,F,438,Célibataire,0,false,8979 ZV 44
68,F,443,En Couple,0,false,3604 NR 76
58,M,583,En Couple,0,false,7910 IU 15
50,M,1307,En Couple,4,false,2136 RF 79
67,F,444,En Couple,0,false,7362 TJ 89
31,F,1269,Célibataire,0,false,9497 IH 19
57,M,489,En Couple,1,false,126 TW 90
43,M,562,Célibataire,0,false,8885 EM 61
20,M,513,Célibataire,0,false,2141 VG 58
35,F,193,En Couple,2,true,7200 OO 16
72,M,1150,Célibataire,0,false,9432 MG 39
28,F,585,En Couple,1,false,8748 WM 68
37,M,158,En Couple,3,true,1702 FQ 82
53,M,1318,En Couple,3,false,9651 EQ 97
83,M,204,Seule,2,false,3750 FI 93
53,M,247,En Couple,4,false,5465 GE 19
37,M,488,Célibataire,0,false,6785 AT 43
73,M,469,Célibataire,0,false,5356 WF 56
26,M,233,Célibataire,0,false,1690 PX 26
23,M,172,En Couple,3,false,6565 DK 65
54,F,421,Célibataire,0,false,2703 KQ 39
23,F,246,En Couple,4,false,9959 AK 55
35,M,243,Célibataire,0,false,903 CA 28
34,M,484,Seule,2,false,8108 QP 19
48,M,567,En Couple,0,false,8851 NC 23
25,F,471,En Couple,1,false,4941 HP 60
45,M,433,En Couple,2,false,943 LB 91
33,F,1394,En Couple,0,false,5272 ZO 57
58,Homme,241,Célibataire,0,false,7711 OH 25
23,F,444,Célibataire,0,false,3257 IE 20
25,M,500,En Couple,0,false,3668 UI 81
20,M,1013,Célibataire, ,false,7764 CU 55
68,F,774,Célibataire,0,false,23 AY 53
37,F,552,Célibataire,0,false,2726 YQ 21
70,F,566,En Couple,0,false,6186 CV 45
23,F,427,Célibataire,0,false,985 FB 17
50,M,571,En Couple,0,true,5436 RM 20
28,M,933,En Couple,0,false,2574 KT 17
28,M,1086,En Couple,1,false,1875 FR 87
49,F,588,En Couple,0,false,1730 RG 26
66,F,487,Célibataire,0,false,3617 PN 32
65,M,495,Célibataire,0,false,2827 KC 35
39,M,532,En Couple,2,true,4561 QC 67
24,F,492,En Couple,1,false,2810 ZZ 83
42,M,1104,Célibataire,0,false,8840 JL 71
37,M,869,En Couple,1,false,7417 WY 54
47,M,718,En Couple,4,false,8742 VT 92
49,M,1352,En Couple,1,false,4876 GG 71
59,M,498,En Couple,2,false,7300 GH 84
50,F,198,En Couple,0,true,6289 KK 35
24,M,938,Célibataire,0,false,7222 EU 63
72,M,439,En Couple,4,true,4929 SZ 13
47,M,590,En Couple,2,false,9560 QB 86
43,F,570,Célibataire,0,false,7327 EK 15
41,M,401,En Couple,2,false,8034 TZ 27
36,F,1298,En Couple,1,true,5397 JN 73
68,M,451,En Couple,4,true,9062 WZ 96
26,M,479,En Couple,1,true,3307 TI 11
19,M,811,En Couple,1,false,9518 HS 45
38,F,938,En Couple,2,false,4258 PN 30
21,F,533,Célibataire,0,false,3648 JG 46
27,F,537,En Couple,4,false,179 MC 36
19,M,723,Seule,2,false,4412 EN 22
26,M,490,En Couple,4,true,722 PE 80
64,F,835,Seul,0,false,3785 LR 60
36,M,577,En Couple,4,true,174 RJ 67
29,F,1065,En Couple,1,false,5277 YO 80
40,M,163,En Couple,2,false,4576 CO 40
40,F,243,En Couple,0,false,724 US 96
44,M,468,En Couple,0,false,457 QP 60
58,M,196,En Couple,0,false,7990 VQ 88
67,Masculin,1256,Célibataire,0,false,5254 ZE 15
26,M,407,Célibataire,0,false,8483 BS 52
54,M,441,Célibataire,0,false,6285 TU 88
50,M,589,En Couple,3,false,679 LI 87
53,M,587,Célibataire,0,false,9759 AI 26
53,M,405,Seule,1,false,4456 YB 54
31,F,241,En Couple,4,false,7686 HO 16
19,F,1160,En Couple,1,false,8581 OS 63
55,F,967,Célibataire,0,false,4613 VX 78
22,M,819,En Couple,3,false,4486 JC 66
81,M,436,En Couple,1,false,3037 XS 82
22,Femme,442,En Couple,1,false,6016 ZJ 27
44,M,218,Célibataire,0,false,9012 CO 61
20,M,809,En Couple,2,false,4560 TR 95
72,M,490,En Couple,2,false,4957 PP 93
37,Masculin,493,En Couple,1,false,5773 TQ 69
61,M,405,En Couple,4,true,7252 AT 14
28,M,566,En Couple,4,false,2888 RT 80
28,M,1247,Célibataire,0,false,1025 UP 86
20,M,202,Célibataire,0,false,7980 RD 94
18,F,900,En Couple,0,false,258 VN 87
45,M,559,En Couple,4,false,256 FU 70
65,M,541,En Couple,2,false,6546 MB 60
59,F,598,En Couple,0,false,3409 GR 71
32,M,405,Seule,3,false,2439 LZ 48
52,M,749,En Couple,1,false,4107 JV 86
31,M,465,En Couple,0,false,8189 XJ 17
34,M,579,Célibataire,0,false,9711 XR 28
39,F,442,Célibataire,0,false,5533 VS 79
34,M,1039,Célibataire,0,false,7819 RQ 45
78,F,824,En Couple,2,false,4810 HE 17
18,M,582,En Couple,2,true,5319 CZ 49
24,F,440,En Couple,0,false,1152 RH 90
47,M,173,En Couple,0,true,2596 EO 53
46,F,1090,Célibataire,0,false,8966 UV 88
20,M,1330,En Couple,4,false,6908 FZ 37
27,F,479,En Couple,2,true,9130 QG 61
67,M,236,En Couple,1,true,5127 BH 75
28,M,1121,En Couple,2,false,9817 VD 58
46,M,1301,Célibataire,0,false,1666 MI 87
30,F,1178,Célibataire,0,false,3350 QF 76
34,M,414,En Couple,1,true,1207 GR 60
29,M,595,En Couple,1,false,8159 AU 78
27,F,541,Célibataire,0,false,1705 XZ 41
53,M,973,En Couple,0,false,5853 QC 82
19,F,717,En Couple,0,false,1238 TZ 42
55,M,438,En Couple,1,true,6370 EU 25
59,M,561,En Couple,4,false,3157 VI 75
62,M,522,En Couple,3,false,3546 NC 63
55,F,795,En Couple,4,true,3272 NU 18
28,M,778,En Couple,1,false,156 QV 77
68,M,1311,En Couple,1,true,8009 VX 91
34,M,530,En Couple,3,false,2968 AT 66
67,M,402,En Couple,1,true,8381 ZW 85
71,M,482,En Couple,3,false,249 DM 73
78,M,1189,Seule,1,false,4806 PP 63
35,F,160,En Couple,3,true,66 XC 13
39,M,510,En Couple,4,false,8938 OA 94
57,M,445,En Couple,0,false,6642 HL 87
45,M,216,En Couple,0,false,5551 WT 38
50,M,907,En Couple,0,false,5922 EY 51
43,M,201,En Couple,0,true,7089 UT 30
45,M,197,En Couple,0,true,7123 JT 95
33,F,1107,En Couple,1,false,6599 YP 11
21,F,228,En Couple,0,false,849 YC 94
48,M,406,En Couple,2,false,2051 FN 48
54,F,179,En Couple,2,false,6948 HY 30
19,M,1089,Seule,3,false,6352 EV 32
38,M,1271,En Couple,1,false,5036 OW 47
37,M,154,En Couple,4,true,7508 WI 94
27,M,591,Célibataire,0,false,1747 NM 53
20,F,524,En Couple,4,false,8445 SS 63
49,M,411,Célibataire,0,false,92 PR 92
25,M,559,En Couple,2,true,6566 WB 43
82,M,443,Célibataire,0,false,9479 PW 79
25,M,562,Célibataire,0,false,704 MF 68
42,F,512,Célibataire,0,false,5852 DX 48
54,M,434,En Couple,0,true,5627 DG 36
25,M,554,Célibataire,0,false,5245 VF 10
74,F,465,Célibataire,0,false,7308 AN 10
53,M,445,En Couple,3,false,2390 NW 18
35,F,528,En Couple,3,true,934 RF 44
42,M,406,Célibataire,0,false,3198 IM 67
84,M,1288,En Couple,1,false,3811 SM 46
58,M,404,Célibataire,0,false,1525 AN 83
21,M,874,En Couple,2,false,1082 YR 96
82,M,1209,En Couple,2,false,8086 UD 25
47,M,464,En Couple,4,false,504 OB 68
60,M,219,Célibataire,0,false,548 QG 17
65,F,1189,En Couple,0,false,6489 JN 93
61,F,494,Célibataire,0,false,1950 YJ 34
19,M,1068,Célibataire,0,false,6542 QK 16
45,M,237,Célibataire,0,false,6972 GT 13
49,F,524,En Couple,2,false,4469 BY 92
55,M,228,En Couple,4,false,1137 LB 18
79,M,182,En Couple,1,false,3077 KS 43
21,F,405,En Couple,3,false,8873 RM 46
18,M,589,Célibataire,0,false,6497 NS 44
75,Homme,444,Seule,2,false,6138 QO 31
33,M,554,Célibataire,0,false,7650 NS 76
53,M,202,En Couple,4,false,6836 YZ 27
59,F,590,En Couple,0,false,2591 IF 13
27,F,1279,En Couple,2,false,1603 SA 47
37,F,596,Célibataire,0,false,6615 RJ 11
32,M,436,En Couple,2,true,4857 VD 67
42,M,1244,En Couple,2,false,291 WN 14
24,M,414,En Couple,0,true,4406 LB 45
52,F,179,Seule,2,false,7414 XM 13
26,F,582,En Couple,0,false,5330 QT 44
44,M,487,En Couple,4,false,7806 CF 36
38,F,403,Célibataire,0,false,1503 QV 28
70,M,449,En Couple,0,false,514 FP 26
19,M,462,En Couple,2,false,8105 II 68
72,M,580,En Couple,3,false,5107 US 11
49,M,587,En Couple,2,false,103 RT 23
44,M,574,En Couple,1,false,3677 UZ 60
19,M,461,Célibataire,0,false,3417 TO 71
49,F,247,En Couple,4,false,2469 LJ 21
20,M,435,Célibataire,0,false,7385 KP 62
50,M,183,En Couple,3,true,9146 OO 85
30,M,995,Célibataire,0,false,3052 HO 80
30,M,828,En Couple,1,false,3125 ZK 44
18,M,566,Célibataire,0,false,6800 LU 59
27,M,202,En Couple,1,false,6603 YJ 73
26,F,468,En Couple,2,false,6109 QU 88
57,M,739,En Couple,4,false,6663 RV 26
33,M,517,En Couple,0,false,1766 ZR 78
28,M,413,En Couple,2,false,3234 BD 68
61,F,444,Célibataire,0,false,823 RA 60
58,Masculin,405,Seule,2,false,813 ZC 43
59,F,588,En Couple,2,false,1174 IK 14
57,M,1174,En Couple,0,false,3011 IR 91
38,F,755,En Couple,0,false,3459 LQ 16
21,F,462,Célibataire,0,false,6442 VD 39
37,F,566,Célibataire,0,false,4729 NY 75
21,M,1391,En Couple,4,true,6320 SY 90
46,M,229,En Couple,0,false,2989 RR 32
61,F,554,Célibataire,0,false,6991 HK 87
51,M,506,Célibataire,0,false,7900 GW 79
51,M,200,Célibataire,0,false,8603 GM 49
57,F,496,En Couple,0,true,8014 OT 16
55,M,432,En Couple,2,false,6288 JF 35
61,F,425,En Couple,0,false,9271 EL 89
28,M,1322,En Couple,4,false,8134 NZ 17
52,F,556,En Couple,4,false,7298 XC 12
54,M,1063,En Couple,1,false,5087 CW 89
30,M,1131,Célibataire,0,false,4486 CM 83
42,F,567,En Couple,4,false,3413 EA 89
27,F,575,En Couple,1,false,3267 YQ 93
71,M,488,En Couple,0,false,4798 HZ 94
74,M,465,En Couple,0,false,3971 FK 86
58,F,545,Célibataire,0,false,5769 VE 26
34,F,150,Célibataire,0,false,8827 SO 17
46,M,521,En Couple,1,false,1408 DI 98
26,M,516,En Couple,3,false,825 ZC 49
49,M,152,En Couple,4,false,1382 RA 17
36,M,210,En Couple,1,false,2213 FO 12
59,Homme,1084,En Couple,3,false,4584 NL 95
32,F,520,Célibataire,0,false,1170 FK 45
79,F,515,En Couple,1,true,5406 OZ 66
33,M,534,En Couple,4,true,1339 HH 60
76,M,201,Célibataire,0,false,8424 NE 96
43,M,571,En Couple,2,false,7048 GZ 57
46,M,443,Célibataire,0,false,5170 FZ 13
35,M,856,En Couple,4,false,4072 VM 67
76,F,569,En Couple,0,false,4450 EF 64
22,F,487,Célibataire,0,false,1655 HV 18
61,M,788,Célibataire,0,false,887 QE 56
62,F,467,En Couple,1,false,4071 UO 98
39,F,563,En Couple,3,false,2297 PZ 28
21,M,443,En Couple,0,false,5848 TO 65
64,F,528,En Couple,0,false,1309 ED 79
25,M,191,En Couple,0,true,8545 SD 78
52,F,766,En Couple,1,true,8624 MZ 84
45,M,414,Célibataire,0,false,8502 CK 86
48,F,497,Célibataire,0,false,9337 ZT 26
56,M,523,Célibataire,0,false,5074 CN 51
75,F,472,En Couple,2,false,6377 IO 47
46,M,247,En Couple,3,false,5116 EE 78
46,F,444,En Couple,2,false,4251 RY 58
38,M,700,En Couple,0,false,6340 EM 66
20,F,1099,En Couple,1,false,2726 DR 28
67,M,746,En Couple,4,true,1892 ET 75
44,M,1150,En Couple,1,false,3496 RO 11
47,M,564,En Couple,0,false,928 KH 56
20,F,458,En Couple,4,true,7994 JJ 56
24,M,589,En Couple,2,true,6808 JQ 32
49,M,448,En Couple,1,false,9936 US 30
40,M,198,En Couple,3,false,6291 HQ 62
?,F,478,En Couple,2,false,4904 OC 10
53,F,807,En Couple,4,false,1316 EN 29
59,M,890,En Couple,2,false,4744 ZR 57
54,F,468,Célibataire,0,false,1126 SE 79
56,M,581,Célibataire,0,false,2977 ZT 15
77,F,210,Célibataire,0,false,7889 NQ 95
46,M,1181,En Couple,1,false,5424 FP 34
27,M,194,En Couple,2,false,9700 NA 14
77,M,553,Célibataire,0,false,5721 RK 93
38,M,479,Célibataire,0,false,8762 HB 65
23,M,1255,En Couple,0,false,8380 IS 80
24,M,540,En Couple,3,false,3416 BX 75
18,M,162,En Couple,1,false,9954 OR 40
26,M,448,Seule,2,false,6682 AN 83
49,M,544,En Couple,2,false,8991 LU 41
26,M,206,En Couple,0,false,8555 IB 81
42,M,539,En Couple,0,false,9439 NK 98
46,M,455,En Couple,0,false,1051 NU 57
40,M,215,Célibataire,0,false,5002 YV 10
47,M,1141,En Couple,1,true,3816 OB 90
29,M,194,En Couple,2,false,3185 ED 94
26,M,1005,En Couple,3,false,9416 YZ 20
27,F,537,Célibataire,0,false,7232 SM 43
48,M,457,En Couple,0,false,3675 AX 44
54,M,400,En Couple,3,false,6748 MC 61
21,M,1255,Seule,2,false,1387 TS 78
29,M,400,En Couple,2,false,7780 HO 14
36,M,562,En Couple,4,false,1244 VX 31
78,F,408,En Couple,3,false,2482 YA 30
65,M,480,Célibataire,0,false,9470 WX 88
79,M,486,Célibataire,0,false,8041 AF 45
22,M,420,Célibataire,0,false,2152 LF 73
74,F,537,En Couple,1,false,7142 KJ 77
60,M,543,En Couple,1,false,7356 SR 91
46,F,1060,En Couple,4,false,304 XR 64
38,M,1057,Célibataire,0,false,4920 ZO 52
41,F,205,En Couple,4,false,6249 UC 46
59,M,446,En Couple,0,false,6816 PM 96
72,F,545,En Couple,2,true,4236 ZS 16
28,M,906,Seule,3,false,3895 HL 95
57,F,224,Célibataire,0,false,975 NH 71
53,M,188,En Couple,2,false,6261 CA 86
29,M,171,Seule,1,false,4096 CG 96
59,M,456,En Couple,2,true,2863 RD 62
47,F,235,Célibataire,0,false,3370 ZM 57
21,F,186,Célibataire,0,false,2051 YT 24
34,M,749,En Couple,1,true,7663 IQ 53
19,F,217,En Couple,1,false,5579 GC 32
53,F,176,Célibataire,0,false,4684 JS 63
64,M,1262,En Couple,2,false,6887 WY 92
51,M,1322,En Couple,1,false,1162 RO 36
71,M,185,Célibataire,0,false,6693 TV 96
29,F,594,En Couple,1,false,4568 PE 86
56,M,592,Célibataire,0,false,5899 ME 46
36,M,584,En Couple,1,false,7460 LT 78
59,M,157,Seule,3,false,8296 BO 32
56,M,543,Célibataire,0,false,9345 VV 98
19,M,585,En Couple,3,false,4152 FV 56
31,F,1137,Célibataire,0,false,6208 BR 91
47,M,180,En Couple,3,false,9407 YP 64
27,M,179,En Couple,2,false,8153 YB 14
36,Masculin,402,En Couple,3,false,7082 JM 48
56,F,596,Célibataire,0,false,8928 QE 87
38,F,202,En Couple,4,false,4371 BI 34
20,F,221,Seule,1,false,2514 ZC 57
41,M,471,En Couple,0,false,5595 TR 19
79,F,468,En Couple,1,false,3895 KQ 92
81,F,952,En Couple,3,true,5808 BM 59
52,M,506,En Couple,2,false,7935 PT 74
27,M,479,En Couple,4,false,9318 NC 73
36,M,1265,En Couple,3,false,2919 KB 46
23,M,215,Célibataire,0,false,6111 IK 72
19,F,487,Célibataire,0,false,5987 GE 68
37,M,218,Célibataire,0,false,5205 FX 69
26,F,169,Célibataire,0,false,355 KC 18
82,M,1151,En Couple,4,false,2268 MB 46
57,M,746,En Couple,0,false,8112 PQ 13
68,F,419,Célibataire,0,false,4787 TF 76
71,F,1095,En Couple,0,false,8397 HE 39
35,F,513,En Couple,1,false,9137 NK 40
61,M,1019,En Couple,2,false,1432 OF 37
40,M,541,En Couple,3,false,3817 CA 13
52,F,541,En Couple,3,false,7848 ZZ 26
36,F,448,Seul,0,false,2792 AT 59
84,M,1274,En Couple,1,false,6926 PS 67
49,M,736,En Couple,4,false,6724 XR 82
35,F,165,En Couple,0,false,1190 XD 93
84,M,449,Célibataire,0,false,4940 ST 94
29,F,469,En Couple,1,false,1125 JZ 22
38,M,511,Célibataire,0,false,6716 ID 94
54,M,1396,En Couple,1,true,8282 JO 30
37,M,1196,Célibataire,0,false,6167 AA 68
28,F,449,En Couple,0,false,7166 IP 78
27,F,203,Célibataire,0,false,381 PW 26
32,M,1378,En Couple,1,false,9430 RL 12
64,M,536,En Couple,2,true,2613 UN 51
26,M,195,En Couple,1,false,9133 CC 23
60,M,550, ,0,false,3217 WG 74
32,M,169,En Couple,1,false,3516 RC 47
21,F,919,En Couple,0,false,5902 RV 69
82,M,935,En Couple,4,false,7204 XP 52
27,M,463,Célibataire,0,false,275 NT 56
21,M,481,En Couple,0,false,3296 BG 18
47,M,810,Célibataire,0,false,623 QA 97
19,M,427,En Couple,2,true,3142 DZ 14
23,M,1241,Célibataire,0,false,9116 LM 92
74,F,490,En Couple,0,true,2644 FH 44
47,M,863,En Couple,1,false,3008 EU 90
40,M,722,Célibataire,0,false,5348 HI 70
24,M,579,Célibataire,0,false,2281 SJ 93
41,F,156,En Couple,1,false,762 JP 64
53,M,481,En Couple,1,false,2350 BZ 91
84,F,781,Célibataire,0,false,7666 SI 25
50,M,560,En Couple,1,false,1810 MB 58
52,M,151,En Couple,2,true,2532 NL 27
83,M,1176,En Couple,1,true,9682 NE 59
56,M,573,En Couple,0,false,146 PV 70
47,M,772,En Couple,4,true,7427 DJ 60
46,M,540,Célibataire,0,false,8326 WW 72
21,M,427,Célibataire,0,false,8023 RP 35
47,F,190,En Couple,4,false,8726 HE 61
50,M,493,Célibataire,0,false,7462 PC 88
46,M,455,Seule,1,false,4274 SW 47
39,M,770,Célibataire,0,false,1367 WJ 33
49,F,1130,En Couple,2,false,9410 UQ 95
49,M,914,Célibataire,0,false,7702 VI 53
26,M,563,En Couple,0,true,7882 QL 66
19,M,459,En Couple,0,false,5005 VA 63
40,M,571,Célibataire,0,false,5447 PD 31
35,M,513,En Couple,4,false,1789 TN 76
19,M,1132,En Couple,1,false,7616 SM 51
25,M,831,En Couple,1,false,659 QI 26
53,M,518,Célibataire,0,false,4375 EG 46
25,M,599,En Couple,0,false,5574 KC 91
59,F,489,Célibataire,0,false,3032 BL 42
26,M,705,Célibataire,0,false,7188 IY 83
24,M,228,En Couple,2,false,5815 CX 37
43,M,1106,En Couple,2,false,1002 VF 92
39,F,416,Marié(e),0,false,8467 RQ 94
48,F,410,Célibataire,0,false,3115 MQ 87
60,F,562,Célibataire,0,false,4343 FB 91
24,M,549,Célibataire,0,false,5397 LD 12
20,M,522,Célibataire,0,false,9781 YE 55
54,F,441,En Couple,2,false,9905 AQ 38
35,M,579,En Couple,0,false,3835 UE 28
18,M,903,Célibataire,0,false,962 TP 76
75,F,582,Seule,1,false,4383 OR 14
45,F,1252,En Couple,3,false,6786 NK 37
74,F,430,Célibataire,0,false,2805 ZJ 14
20,F,427,En Couple,1,false,7593 ZO 60
18,F,534,En Couple,0,false,7621 VV 39
18,F,502,Célibataire,0,false,9608 KQ 15
59,F,573,En Couple,1,false,9207 OF 97
73,M,155,En Couple,2,false,9191 GS 67
84,M,856,En Couple,4,false,7721 TN 53
65,M,1002,En Couple,1,false,8253 OW 87
42,M,1060,En Couple,1,false,8644 XJ 24
64,M,245,En Couple,4,false,8486 EY 97
68,M,243,En Couple,1,false,1212 AW 21
58,M,231,En Couple,0,true,3404 DG 51
23,F,529,En Couple,0,false,6383 IY 76
77,F,1325,En Couple,0,true,8752 BE 61
23,M,451,Célibataire,0,false,2179 WB 91
27,M,509,En Couple,3,false,3199 LK 22
24,M,563,Célibataire,0,false,6937 AR 66
39,M,553,En Couple,2,false,79 LE 70
26,M,542,En Couple,1,false,9886 CH 22
43,M,170,En Couple,2,true,7137 MX 24
37,F,575,Célibataire,0,false,8982 WQ 48
31,F,567,Célibataire,0,false,7678 OF 40
32,M,195,En Couple,1,false,6193 OE 74
45,M,490,En Couple,2,false,9836 ET 17
45,M,499,Célibataire,0,false,360 JE 65
79,M,570,Célibataire,0,false,8200 VA 22
25,F,482,En Couple,2,false,4911 YQ 89
55,M,516,En Couple,2,true,2379 JX 21
53,F,446,En Couple,2,false,7234 ZA 68
54,M,169,Seule,3,false,2167 ED 96
80,M,447,Célibataire,0,false,8649 FQ 98
49,F,531,En Couple,3,false,649 GO 97
45,F,1113,En Couple,0,false,6550 UP 83
62,M,581,Célibataire,0,false,3414 IF 92
32,M,795,En Couple,2,false,6467 FI 38
39,M,1328,En Couple,0,false,2783 YB 79
49,M,478,En Couple,1,false,4294 PM 53
32,M,423,En Couple,2,false,8847 IS 37
38,F,544,En Couple,3,true,7918 HE 39
26,M,222,Célibataire,0,false,7801 TR 63
53,M,443,Célibataire,0,false,9589 NU 14
68,F,546,En Couple,0,false,5708 LM 75
29,M,1010,En Couple,1,false,1085 SN 51
45,M,429,Célibataire,0,false,7713 ED 76
84,M,239,Seule,2,false,8549 OA 13
28,M,1107,En Couple,0,false,9977 KZ 75
48,M,1099,En Couple,2,false,4163 HS 67
64,M,911,Célibataire,0,false,4977 ZA 39
40,M,214,Célibataire,0,false,2170 WN 46
50,M,198,En Couple,1,false,3711 LC 19
40,M,432,En Couple,1,false,1507 IW 21
62,M,514,En Couple,3,false,515 PX 67
42,M,1036,En Couple,0,false,9956 VE 35
78,M,401,En Couple,2,false,5033 DT 46
31,F,531,Célibataire,0,false,2142 VO 61
74,M,498,En Couple,1,false,6660 QQ 33
41,M,433,Célibataire,0,false,2696 EW 69
72,F,227,Célibataire,0,false,5922 UX 74
26,M,780,Célibataire,0,false,6999 SQ 93
26,M,415,En Couple,1,false,9612 RK 79
19,F,439,En Couple,4,false,1672 CO 37
73,M,416,En Couple,3,false,1444 OH 98
33,M,195,En Couple,1,true,8209 LL 82
46,M,582,Célibataire,0,false,1014 RO 36
33,M,437,En Couple,3,false,5765 BF 68
49,F,526,En Couple,2,false,3769 FS 60
53,F,1195,En Couple,3,true,3391 LV 49
34,M,564,Célibataire,0,false,4221 SG 81
27,M,529,Célibataire,0,false,8419 FO 33
72,M,569,Célibataire,0,false,5485 MM 58
56,M,525,En Couple,4,false,9714 GP 36
28,M,172,En Couple,1,false,2092 TJ 51
22,M,859,Célibataire,0,false,8532 XW 88
25,M,224,En Couple,0,false,7497 DD 95
47,M,1386,En Couple,1,false,9101 RH 46
62,M,581,En Couple,4,false,9260 XV 76
44,F,507,En Couple,3,false,2730 GO 92
24,M,164,Célibataire,0,false,4088 ND 18
52,M,163,Célibataire,0,false,4819 GX 22
33,M,403,En Couple,0,false,4697 PX 63
52,F,408,En Couple,1,false,6808 PJ 29
52,M,532,En Couple,1,false,1301 SL 25
32,M,1025,Célibataire,0,false,1574 YS 39
70,M,547,En Couple,0,false,3933 VY 30
40,F,771,En Couple,3,false,881 EK 42
19,F,1305,Célibataire,0,false,4106 JS 16
47,F,1218,En Couple,2,false,8489 FT 87
66,F,216,Célibataire,0,false,1282 XJ 73
24,M,161,En Couple,1,true,8935 FC 51
48,F,160,En Couple,2,true,226 VT 91
22,F,565,En Couple,1,false,1726 CF 20
37,M,539,Seul,0,false,8675 XW 36
39,M,483,En Couple,3,false,3740 FI 39
54,F,463,En Couple,4,false,7894 HO 78
29,M,411,En Couple,0,false,7016 BF 71
59,M,422,Célibataire,0,false,7034 CL 92
49,M,564,Seule,3,false,6547 LZ 38
20,F,853,Célibataire,0,false,4547 NY 24
66,M,479,Célibataire,0,false,7849 NP 61
19,F,832,En Couple,0,false,2962 BA 79
58,M,1094,Célibataire,0,false,2031 RB 74
49,M,171,En Couple,1,false,945 LD 42
19,M,539,En Couple,2,true,2356 BD 11
21,M,158,Seule,2,false,6869 BG 59
28,F,232,En Couple,0,false,4065 SH 24
